Orthogroup	Latest_AmilRS_AdiTakeuchi_SpisPeled_SpisDrake_SpisManju_extras.FIX (5)	Spis.genome.annotation.pep.longest	Total
OG0000000	0	949	949
OG0000001	0	632	632
OG0000002	0	615	615
OG0000003	0	526	526
OG0000004	0	441	441
OG0000005	0	430	430
OG0000006	0	399	399
OG0000007	1	392	393
OG0000008	0	374	374
OG0000009	0	368	368
OG0000010	1	364	365
OG0000011	0	333	333
OG0000012	0	279	279
OG0000013	0	259	259
OG0000014	3	233	236
OG0000015	0	235	235
OG0000016	1	233	234
OG0000017	0	219	219
OG0000018	0	210	210
OG0000019	0	199	199
OG0000020	0	196	196
OG0000021	0	189	189
OG0000022	0	180	180
OG0000023	0	174	174
OG0000024	0	172	172
OG0000025	0	162	162
OG0000026	0	161	161
OG0000027	2	153	155
OG0000028	0	140	140
OG0000029	0	139	139
OG0000030	0	139	139
OG0000031	0	134	134
OG0000032	0	133	133
OG0000033	0	121	121
OG0000034	0	112	112
OG0000035	0	100	100
OG0000036	0	100	100
OG0000037	0	100	100
OG0000038	0	98	98
OG0000039	0	97	97
OG0000040	0	94	94
OG0000041	0	94	94
OG0000042	0	94	94
OG0000043	0	92	92
OG0000044	0	89	89
OG0000045	0	88	88
OG0000046	0	87	87
OG0000047	0	84	84
OG0000048	0	84	84
OG0000049	0	76	76
OG0000050	0	76	76
OG0000051	0	75	75
OG0000052	0	74	74
OG0000053	0	73	73
OG0000054	0	72	72
OG0000055	0	72	72
OG0000056	0	71	71
OG0000057	0	71	71
OG0000058	0	71	71
OG0000059	1	69	70
OG0000060	0	70	70
OG0000061	0	68	68
OG0000062	0	67	67
OG0000063	0	67	67
OG0000064	0	62	62
OG0000065	0	61	61
OG0000066	0	57	57
OG0000067	0	56	56
OG0000068	0	56	56
OG0000069	0	54	54
OG0000070	0	54	54
OG0000071	0	54	54
OG0000072	0	54	54
OG0000073	0	54	54
OG0000074	0	53	53
OG0000075	0	53	53
OG0000076	0	53	53
OG0000077	0	52	52
OG0000078	0	52	52
OG0000079	0	48	48
OG0000080	0	47	47
OG0000081	0	47	47
OG0000082	0	46	46
OG0000083	0	46	46
OG0000084	0	45	45
OG0000085	0	45	45
OG0000086	0	45	45
OG0000087	0	45	45
OG0000088	0	44	44
OG0000089	0	44	44
OG0000090	0	44	44
OG0000091	0	44	44
OG0000092	1	42	43
OG0000093	0	43	43
OG0000094	0	43	43
OG0000095	0	42	42
OG0000096	0	41	41
OG0000097	0	40	40
OG0000098	0	40	40
OG0000099	0	39	39
OG0000100	2	36	38
OG0000101	0	38	38
OG0000102	0	38	38
OG0000103	0	37	37
OG0000104	0	37	37
OG0000105	0	37	37
OG0000106	0	37	37
OG0000107	1	35	36
OG0000108	0	36	36
OG0000109	0	36	36
OG0000110	0	36	36
OG0000111	0	35	35
OG0000112	0	35	35
OG0000113	0	34	34
OG0000114	0	33	33
OG0000115	0	33	33
OG0000116	0	33	33
OG0000117	0	33	33
OG0000118	0	33	33
OG0000119	0	32	32
OG0000120	0	32	32
OG0000121	0	31	31
OG0000122	0	31	31
OG0000123	0	30	30
OG0000124	0	30	30
OG0000125	0	30	30
OG0000126	0	29	29
OG0000127	0	29	29
OG0000128	0	29	29
OG0000129	0	29	29
OG0000130	0	29	29
OG0000131	0	29	29
OG0000132	0	28	28
OG0000133	0	28	28
OG0000134	0	28	28
OG0000135	0	28	28
OG0000136	0	26	26
OG0000137	0	26	26
OG0000138	0	26	26
OG0000139	0	26	26
OG0000140	0	26	26
OG0000141	0	26	26
OG0000142	0	26	26
OG0000143	0	26	26
OG0000144	0	26	26
OG0000145	0	25	25
OG0000146	0	25	25
OG0000147	0	25	25
OG0000148	0	25	25
OG0000149	0	24	24
OG0000150	0	24	24
OG0000151	0	24	24
OG0000152	0	24	24
OG0000153	0	23	23
OG0000154	0	23	23
OG0000155	0	22	22
OG0000156	0	22	22
OG0000157	0	22	22
OG0000158	0	22	22
OG0000159	0	21	21
OG0000160	0	21	21
OG0000161	0	21	21
OG0000162	0	21	21
OG0000163	0	20	20
OG0000164	0	20	20
OG0000165	0	20	20
OG0000166	0	19	19
OG0000167	0	19	19
OG0000168	0	19	19
OG0000169	0	19	19
OG0000170	0	19	19
OG0000171	0	19	19
OG0000172	0	19	19
OG0000173	0	19	19
OG0000174	0	19	19
OG0000175	0	18	18
OG0000176	0	18	18
OG0000177	0	18	18
OG0000178	0	18	18
OG0000179	0	18	18
OG0000180	0	18	18
OG0000181	0	17	17
OG0000182	0	17	17
OG0000183	0	17	17
OG0000184	0	17	17
OG0000185	0	17	17
OG0000186	0	17	17
OG0000187	0	17	17
OG0000188	0	17	17
OG0000189	1	15	16
OG0000190	0	16	16
OG0000191	0	16	16
OG0000192	0	16	16
OG0000193	0	16	16
OG0000194	0	16	16
OG0000195	0	16	16
OG0000196	0	16	16
OG0000197	0	16	16
OG0000198	0	16	16
OG0000199	0	16	16
OG0000200	0	16	16
OG0000201	0	16	16
OG0000202	0	15	15
OG0000203	0	15	15
OG0000204	0	15	15
OG0000205	0	15	15
OG0000206	0	15	15
OG0000207	0	15	15
OG0000208	0	15	15
OG0000209	0	15	15
OG0000210	0	15	15
OG0000211	0	15	15
OG0000212	0	14	14
OG0000213	0	14	14
OG0000214	0	14	14
OG0000215	0	14	14
OG0000216	0	14	14
OG0000217	0	14	14
OG0000218	0	14	14
OG0000219	0	14	14
OG0000220	0	14	14
OG0000221	0	13	13
OG0000222	0	13	13
OG0000223	0	13	13
OG0000224	0	13	13
OG0000225	0	13	13
OG0000226	0	13	13
OG0000227	0	13	13
OG0000228	0	13	13
OG0000229	0	13	13
OG0000230	0	12	12
OG0000231	0	12	12
OG0000232	0	12	12
OG0000233	0	12	12
OG0000234	0	12	12
OG0000235	0	12	12
OG0000236	0	12	12
OG0000237	0	12	12
OG0000238	0	12	12
OG0000239	0	12	12
OG0000240	0	12	12
OG0000241	0	12	12
OG0000242	0	12	12
OG0000243	0	12	12
OG0000244	0	12	12
OG0000245	0	11	11
OG0000246	0	11	11
OG0000247	0	11	11
OG0000248	0	11	11
OG0000249	0	11	11
OG0000250	0	11	11
OG0000251	0	11	11
OG0000252	0	11	11
OG0000253	0	11	11
OG0000254	0	11	11
OG0000255	0	11	11
OG0000256	0	11	11
OG0000257	0	11	11
OG0000258	0	11	11
OG0000259	0	11	11
OG0000260	0	11	11
OG0000261	0	11	11
OG0000262	5	5	10
OG0000263	0	10	10
OG0000264	0	10	10
OG0000265	0	10	10
OG0000266	0	10	10
OG0000267	0	10	10
OG0000268	0	10	10
OG0000269	0	10	10
OG0000270	0	10	10
OG0000271	0	10	10
OG0000272	0	10	10
OG0000273	0	10	10
OG0000274	0	10	10
OG0000275	0	10	10
OG0000276	0	10	10
OG0000277	0	10	10
OG0000278	0	10	10
OG0000279	0	10	10
OG0000280	0	10	10
OG0000281	0	10	10
OG0000282	1	8	9
OG0000283	0	9	9
OG0000284	0	9	9
OG0000285	0	9	9
OG0000286	0	9	9
OG0000287	0	9	9
OG0000288	0	9	9
OG0000289	0	9	9
OG0000290	0	9	9
OG0000291	0	9	9
OG0000292	0	9	9
OG0000293	0	9	9
OG0000294	0	9	9
OG0000295	0	8	8
OG0000296	0	8	8
OG0000297	0	8	8
OG0000298	0	8	8
OG0000299	0	8	8
OG0000300	0	8	8
OG0000301	0	8	8
OG0000302	0	8	8
OG0000303	0	8	8
OG0000304	0	8	8
OG0000305	0	8	8
OG0000306	0	8	8
OG0000307	0	8	8
OG0000308	0	8	8
OG0000309	0	8	8
OG0000310	0	8	8
OG0000311	0	8	8
OG0000312	0	8	8
OG0000313	0	8	8
OG0000314	0	8	8
OG0000315	0	8	8
OG0000316	0	8	8
OG0000317	0	8	8
OG0000318	0	8	8
OG0000319	0	8	8
OG0000320	0	8	8
OG0000321	0	8	8
OG0000322	0	8	8
OG0000323	0	8	8
OG0000324	0	8	8
OG0000325	0	8	8
OG0000326	0	8	8
OG0000327	0	8	8
OG0000328	0	8	8
OG0000329	0	8	8
OG0000330	0	8	8
OG0000331	2	5	7
OG0000332	7	0	7
OG0000333	0	7	7
OG0000334	0	7	7
OG0000335	0	7	7
OG0000336	0	7	7
OG0000337	0	7	7
OG0000338	0	7	7
OG0000339	0	7	7
OG0000340	0	7	7
OG0000341	0	7	7
OG0000342	0	7	7
OG0000343	0	7	7
OG0000344	0	7	7
OG0000345	0	7	7
OG0000346	0	7	7
OG0000347	0	7	7
OG0000348	0	7	7
OG0000349	0	7	7
OG0000350	0	7	7
OG0000351	0	7	7
OG0000352	0	7	7
OG0000353	0	7	7
OG0000354	0	7	7
OG0000355	0	7	7
OG0000356	0	7	7
OG0000357	0	7	7
OG0000358	0	7	7
OG0000359	0	7	7
OG0000360	0	7	7
OG0000361	0	7	7
OG0000362	0	7	7
OG0000363	0	7	7
OG0000364	6	0	6
OG0000365	0	6	6
OG0000366	0	6	6
OG0000367	0	6	6
OG0000368	0	6	6
OG0000369	0	6	6
OG0000370	0	6	6
OG0000371	0	6	6
OG0000372	0	6	6
OG0000373	0	6	6
OG0000374	0	6	6
OG0000375	0	6	6
OG0000376	0	6	6
OG0000377	0	6	6
OG0000378	0	6	6
OG0000379	0	6	6
OG0000380	0	6	6
OG0000381	0	6	6
OG0000382	0	6	6
OG0000383	0	6	6
OG0000384	0	6	6
OG0000385	0	6	6
OG0000386	0	6	6
OG0000387	0	6	6
OG0000388	0	6	6
OG0000389	0	6	6
OG0000390	0	6	6
OG0000391	0	6	6
OG0000392	0	6	6
OG0000393	0	6	6
OG0000394	0	6	6
OG0000395	0	6	6
OG0000396	0	6	6
OG0000397	0	6	6
OG0000398	0	6	6
OG0000399	0	6	6
OG0000400	0	6	6
OG0000401	0	6	6
OG0000402	0	6	6
OG0000403	0	6	6
OG0000404	0	6	6
OG0000405	0	6	6
OG0000406	0	6	6
OG0000407	0	6	6
OG0000408	0	6	6
OG0000409	0	6	6
OG0000410	0	6	6
OG0000411	0	6	6
OG0000412	0	6	6
OG0000413	0	6	6
OG0000414	0	6	6
OG0000415	0	6	6
OG0000416	0	6	6
OG0000417	0	6	6
OG0000418	0	5	5
OG0000419	0	5	5
OG0000420	0	5	5
OG0000421	0	5	5
OG0000422	0	5	5
OG0000423	0	5	5
OG0000424	0	5	5
OG0000425	0	5	5
OG0000426	0	5	5
OG0000427	0	5	5
OG0000428	0	5	5
OG0000429	0	5	5
OG0000430	0	5	5
OG0000431	0	5	5
OG0000432	0	5	5
OG0000433	0	5	5
OG0000434	0	5	5
OG0000435	0	5	5
OG0000436	0	5	5
OG0000437	0	5	5
OG0000438	0	5	5
OG0000439	0	5	5
OG0000440	0	5	5
OG0000441	0	5	5
OG0000442	0	5	5
OG0000443	0	5	5
OG0000444	0	5	5
OG0000445	0	5	5
OG0000446	0	5	5
OG0000447	0	5	5
OG0000448	0	5	5
OG0000449	0	5	5
OG0000450	0	5	5
OG0000451	0	5	5
OG0000452	0	5	5
OG0000453	0	5	5
OG0000454	0	5	5
OG0000455	0	5	5
OG0000456	0	5	5
OG0000457	0	5	5
OG0000458	0	5	5
OG0000459	0	5	5
OG0000460	0	5	5
OG0000461	0	5	5
OG0000462	0	5	5
OG0000463	0	5	5
OG0000464	0	5	5
OG0000465	0	5	5
OG0000466	0	5	5
OG0000467	0	5	5
OG0000468	0	5	5
OG0000469	0	5	5
OG0000470	0	5	5
OG0000471	0	5	5
OG0000472	0	5	5
OG0000473	0	5	5
OG0000474	0	5	5
OG0000475	0	5	5
OG0000476	0	5	5
OG0000477	0	5	5
OG0000478	0	5	5
OG0000479	0	5	5
OG0000480	0	5	5
OG0000481	0	5	5
OG0000482	0	5	5
OG0000483	0	5	5
OG0000484	0	5	5
OG0000485	0	5	5
OG0000486	0	5	5
OG0000487	0	5	5
OG0000488	0	5	5
OG0000489	0	5	5
OG0000490	0	5	5
OG0000491	0	5	5
OG0000492	0	5	5
OG0000493	0	5	5
OG0000494	4	0	4
OG0000495	4	0	4
OG0000496	4	0	4
OG0000497	3	1	4
OG0000498	1	3	4
OG0000499	4	0	4
OG0000500	4	0	4
OG0000501	1	3	4
OG0000502	0	4	4
OG0000503	0	4	4
OG0000504	0	4	4
OG0000505	0	4	4
OG0000506	0	4	4
OG0000507	0	4	4
OG0000508	0	4	4
OG0000509	0	4	4
OG0000510	0	4	4
OG0000511	0	4	4
OG0000512	0	4	4
OG0000513	0	4	4
OG0000514	0	4	4
OG0000515	0	4	4
OG0000516	0	4	4
OG0000517	0	4	4
OG0000518	0	4	4
OG0000519	0	4	4
OG0000520	0	4	4
OG0000521	0	4	4
OG0000522	0	4	4
OG0000523	0	4	4
OG0000524	0	4	4
OG0000525	0	4	4
OG0000526	0	4	4
OG0000527	0	4	4
OG0000528	0	4	4
OG0000529	0	4	4
OG0000530	0	4	4
OG0000531	0	4	4
OG0000532	0	4	4
OG0000533	0	4	4
OG0000534	0	4	4
OG0000535	0	4	4
OG0000536	0	4	4
OG0000537	0	4	4
OG0000538	0	4	4
OG0000539	0	4	4
OG0000540	0	4	4
OG0000541	0	4	4
OG0000542	0	4	4
OG0000543	0	4	4
OG0000544	0	4	4
OG0000545	0	4	4
OG0000546	0	4	4
OG0000547	0	4	4
OG0000548	0	4	4
OG0000549	0	4	4
OG0000550	0	4	4
OG0000551	0	4	4
OG0000552	0	4	4
OG0000553	0	4	4
OG0000554	0	4	4
OG0000555	0	4	4
OG0000556	0	4	4
OG0000557	0	4	4
OG0000558	0	4	4
OG0000559	0	4	4
OG0000560	0	4	4
OG0000561	0	4	4
OG0000562	0	4	4
OG0000563	0	4	4
OG0000564	0	4	4
OG0000565	0	4	4
OG0000566	0	4	4
OG0000567	0	4	4
OG0000568	0	4	4
OG0000569	0	4	4
OG0000570	0	4	4
OG0000571	0	4	4
OG0000572	0	4	4
OG0000573	0	4	4
OG0000574	0	4	4
OG0000575	0	4	4
OG0000576	0	4	4
OG0000577	0	4	4
OG0000578	0	4	4
OG0000579	0	4	4
OG0000580	0	4	4
OG0000581	0	4	4
OG0000582	0	4	4
OG0000583	0	4	4
OG0000584	0	4	4
OG0000585	0	4	4
OG0000586	0	4	4
OG0000587	0	4	4
OG0000588	0	4	4
OG0000589	0	4	4
OG0000590	0	4	4
OG0000591	0	4	4
OG0000592	0	4	4
OG0000593	0	4	4
OG0000594	0	4	4
OG0000595	0	4	4
OG0000596	0	4	4
OG0000597	0	4	4
OG0000598	0	4	4
OG0000599	0	4	4
OG0000600	0	4	4
OG0000601	0	4	4
OG0000602	0	4	4
OG0000603	0	4	4
OG0000604	0	4	4
OG0000605	0	4	4
OG0000606	0	4	4
OG0000607	0	4	4
OG0000608	0	4	4
OG0000609	0	4	4
OG0000610	0	4	4
OG0000611	0	4	4
OG0000612	0	4	4
OG0000613	0	4	4
OG0000614	0	4	4
OG0000615	0	4	4
OG0000616	1	2	3
OG0000617	2	1	3
OG0000618	2	1	3
OG0000619	1	2	3
OG0000620	1	2	3
OG0000621	2	1	3
OG0000622	2	1	3
OG0000623	2	1	3
OG0000624	0	3	3
OG0000625	0	3	3
OG0000626	0	3	3
OG0000627	0	3	3
OG0000628	0	3	3
OG0000629	0	3	3
OG0000630	0	3	3
OG0000631	0	3	3
OG0000632	0	3	3
OG0000633	0	3	3
OG0000634	0	3	3
OG0000635	0	3	3
OG0000636	0	3	3
OG0000637	0	3	3
OG0000638	0	3	3
OG0000639	0	3	3
OG0000640	0	3	3
OG0000641	0	3	3
OG0000642	0	3	3
OG0000643	0	3	3
OG0000644	0	3	3
OG0000645	0	3	3
OG0000646	0	3	3
OG0000647	0	3	3
OG0000648	0	3	3
OG0000649	0	3	3
OG0000650	0	3	3
OG0000651	0	3	3
OG0000652	0	3	3
OG0000653	0	3	3
OG0000654	0	3	3
OG0000655	0	3	3
OG0000656	0	3	3
OG0000657	0	3	3
OG0000658	0	3	3
OG0000659	0	3	3
OG0000660	0	3	3
OG0000661	0	3	3
OG0000662	0	3	3
OG0000663	0	3	3
OG0000664	0	3	3
OG0000665	0	3	3
OG0000666	0	3	3
OG0000667	0	3	3
OG0000668	0	3	3
OG0000669	0	3	3
OG0000670	0	3	3
OG0000671	0	3	3
OG0000672	0	3	3
OG0000673	0	3	3
OG0000674	0	3	3
OG0000675	0	3	3
OG0000676	0	3	3
OG0000677	0	3	3
OG0000678	0	3	3
OG0000679	0	3	3
OG0000680	0	3	3
OG0000681	0	3	3
OG0000682	0	3	3
OG0000683	0	3	3
OG0000684	0	3	3
OG0000685	0	3	3
OG0000686	0	3	3
OG0000687	0	3	3
OG0000688	0	3	3
OG0000689	0	3	3
OG0000690	0	3	3
OG0000691	0	3	3
OG0000692	0	3	3
OG0000693	0	3	3
OG0000694	0	3	3
OG0000695	0	3	3
OG0000696	0	3	3
OG0000697	0	3	3
OG0000698	0	3	3
OG0000699	0	3	3
OG0000700	0	3	3
OG0000701	0	3	3
OG0000702	0	3	3
OG0000703	0	3	3
OG0000704	0	3	3
OG0000705	0	3	3
OG0000706	0	3	3
OG0000707	0	3	3
OG0000708	0	3	3
OG0000709	0	3	3
OG0000710	0	3	3
OG0000711	0	3	3
OG0000712	0	3	3
OG0000713	0	3	3
OG0000714	0	3	3
OG0000715	0	3	3
OG0000716	0	3	3
OG0000717	0	3	3
OG0000718	0	3	3
OG0000719	0	3	3
